DateTime,Soil temperture at 2 inch below the soil surface (F),Soil data under the cover right on top of soil surface (F),Air temperature 1.5m (F),Dewpoint,Wind Chill,Wind Gust 10m,Wind Speed 10m,Wind Direction 10m,Pressure (mb),Pressure (inHg),Rainfall,Relative Humidity,Approximate Max,Solar Radiation,Snow cover,Turfgrass species,Mowing height,Location,Cover or not ,
2/1/2022 12:00,50.9,68,61.84,49.58,,16.08,7.99,149.4,978.49,28.89,0,64.09,666.34,288.91,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 12:30,51.8,66.2,61.5,49.01,,15.78,11.33,150,977.81,28.87,0,63.51,681.94,238.06,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 13:00,51.8,67.1,62.02,49.16,,14.18,8.5,154.3,977.26,28.86,0,62.69,679.91,254.83,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 13:30,52.7,61.7,61.7,48.7,,15.13,9.38,145.8,977.16,28.86,0,62.32,660.3,95.56,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 14:00,51.8,65.3,61.77,49,,13.59,8.3,144.8,976.94,28.85,0,62.87,623.53,213.46,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 14:30,52.7,61.7,61.27,48.64,,11.91,8.99,147.7,977.12,28.85,0,63.15,570.39,90.68,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 15:00,52.7,66.2,61.84,48.96,,15.05,9.94,144.6,976.76,28.84,0,62.61,502.11,165.7,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 15:30,52.7,69.8,63.28,49.13,,13.88,9.88,146.4,976.52,28.84,0,59.89,420.43,262.96,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 16:00,52.7,62.6,62.37,49.53,,14.98,10.99,131.8,976.2,28.83,0,62.81,327.79,253.7,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 16:30,52.7,59,61.45,49.12,,12.79,8.58,140.1,976.43,28.83,0,63.89,227.95,81.44,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 17:00,51.8,54.5,60.37,49.15,,15.49,11.23,117.4,976.53,28.84,0,66.45,127.75,24.39,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 17:30,51.8,52.7,59.23,49.05,,13.74,9.92,117.2,976.64,28.84,0,68.94,42.1,17.54,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 18:00,50.9,50.9,58.14,48.94,,8.77,7.23,106.9,976.82,28.85,0,71.4,0,1.32,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 18:30,50.9,49.1,56.89,48.32,,7.16,4.97,91.9,977.27,28.86,0,72.97,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 19:00,50,50.9,53.73,46.1,,20.38,14.01,345.7,977.9,28.88,0,75.3,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
